Kode,Nama Perusahaan
PANI,Pantai Indah Kapuk Dua Tbk.
PANR,Panorama Sentrawisata Tbk.
PANS,Panin Sekuritas Tbk.
PBID,Panca Budi Idaman Tbk.
PBRX,Pan Brothers Tbk.
PBSA,Paramita Bangun Sarana Tbk.
PCAR,Prima Cakrawala Abadi Tbk.
PDES,Destinasi Tirta Nusantara Tbk
PDPP,Primadaya Plastisindo Tbk.
PEGE,Panca Global Kapital Tbk.
PEHA,Phapros Tbk.
PEVE,Penta Valent Tbk.
PGAS,Perusahaan Gas Negara Tbk.
PGEO,Pertamina Geothermal Energy Tb
PGJO,Tourindo Guide Indonesia Tbk.
PGLI,Pembangunan Graha Lestari Inda
PGUN,Pradiksi Gunatama Tbk.
PICO,Pelangi Indah Canindo Tbk
PIPA,Multi Makmur Lemindo Tbk.
PJAA,Pembangunan Jaya Ancol Tbk.
PKPK,Perdana Karya Perkasa Tbk
PLAN,Planet Properindo Jaya Tbk.
PLAS,Polaris Investama Tbk
